title,gross,net,url
Detalhes da remuneração GCM 107 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_107_detalhes.html
Detalhes da remuneração GCM 105 referente a 3/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_105_detalhes.html
Detalhes da remuneração GCM 106 referente a 3/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_106_detalhes.html
Detalhes da remuneração GCM 104 referente a 3/2020,"R$ 7.149,01","R$ 6.104,53",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_104_detalhes.html
Detalhes da remuneração GCM 103 referente a 3/2020,"R$ 2.927,69","R$ 2.907,79",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_103_detalhes.html
Detalhes da remuneração GCM 102 referente a 3/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_102_detalhes.html
Detalhes da remuneração GCM 101 referente a 3/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_101_detalhes.html
Detalhes da remuneração GCM 100 referente a 3/2020,"R$ 2.830,10","R$ 2.774,86",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_100_detalhes.html
Detalhes da remuneração GCM 99 referente a 3/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_99_detalhes.html
Detalhes da remuneração GCM 98 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_98_detalhes.html
Detalhes da remuneração GCM 97 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_97_detalhes.html
Detalhes da remuneração GCM 96 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_96_detalhes.html
Detalhes da remuneração GCM 95 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_95_detalhes.html
Detalhes da remuneração GCM 93 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_93_detalhes.html
Detalhes da remuneração GCM 94 referente a 3/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_94_detalhes.html
Detalhes da remuneração GCM 92 referente a 3/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_92_detalhes.html
Detalhes da remuneração GCM 91 referente a 3/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_91_detalhes.html
Detalhes da remuneração GCM 89 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_89_detalhes.html
Detalhes da remuneração GCM 90 referente a 3/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_90_detalhes.html
Detalhes da remuneração GCM 88 referente a 3/2020,"R$ 2.927,69","R$ 2.927,69",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_88_detalhes.html
Detalhes da remuneração GCM 87 referente a 3/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_87_detalhes.html
Detalhes da remuneração GCM 86 referente a 3/2020,"R$ 4.035,10","R$ 3.979,01",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_86_detalhes.html
Detalhes da remuneração GCM 85 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_85_detalhes.html
Detalhes da remuneração GCM 83 referente a 3/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_83_detalhes.html
Detalhes da remuneração GCM 84 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_84_detalhes.html
Detalhes da remuneração GCM 80 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_80_detalhes.html
Detalhes da remuneração GCM 82 referente a 3/2020,"R$ 7.149,01","R$ 6.104,53",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_82_detalhes.html
Detalhes da remuneração GCM 79 referente a 3/2020,"R$ 4.035,10","R$ 3.978,30",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_79_detalhes.html
Detalhes da remuneração GCM 81 referente a 3/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_81_detalhes.html
Detalhes da remuneração GCM 78 referente a 3/2020,"R$ 4.035,10","R$ 3.966,06",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_78_detalhes.html
Detalhes da remuneração GCM 77 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_77_detalhes.html
Detalhes da remuneração GCM 76 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_76_detalhes.html
Detalhes da remuneração GCM 75 referente a 3/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_75_detalhes.html
Detalhes da remuneração GCM 73 referente a 3/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_73_detalhes.html
Detalhes da remuneração GCM 74 referente a 3/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_03/gcm_74_detalhes.html
