title,gross,net,url
Detalhes da remuneração de 11470 referente a 2/2020,"R$ 22.105,34","R$ 14.704,18",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/11470_detalhes.html
Detalhes da remuneração GCM 127 referente a 2/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_127_detalhes.html
Detalhes da remuneração GCM 126 referente a 2/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_126_detalhes.html
Detalhes da remuneração GCM 125 referente a 2/2020,"R$ 4.035,10","R$ 3.991,76",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_125_detalhes.html
Detalhes da remuneração GCM 124 referente a 2/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_124_detalhes.html
Detalhes da remuneração GCM 123 referente a 2/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_123_detalhes.html
Detalhes da remuneração GCM 122 referente a 2/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_122_detalhes.html
Detalhes da remuneração GCM 121 referente a 2/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_121_detalhes.html
Detalhes da remuneração GCM 120 referente a 2/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_120_detalhes.html
Detalhes da remuneração GCM 119 referente a 2/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_119_detalhes.html
Detalhes da remuneração GCM 118 referente a 2/2020,"R$ 7.149,01","R$ 6.156,67",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_118_detalhes.html
Detalhes da remuneração GCM 117 referente a 2/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_117_detalhes.html
Detalhes da remuneração GCM 116 referente a 2/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_116_detalhes.html
Detalhes da remuneração GCM 115 referente a 2/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_115_detalhes.html
Detalhes da remuneração GCM 114 referente a 2/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_114_detalhes.html
Detalhes da remuneração GCM 113 referente a 2/2020,"R$ 7.149,01","R$ 6.156,67",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_113_detalhes.html
Detalhes da remuneração GCM 112 referente a 2/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_112_detalhes.html
Detalhes da remuneração GCM 111 referente a 2/2020,"R$ 4.035,10","R$ 3.898,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_111_detalhes.html
Detalhes da remuneração GCM 110 referente a 2/2020,"R$ 2.927,69","R$ 2.922,01",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_110_detalhes.html
Detalhes da remuneração GCM 109 referente a 2/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_109_detalhes.html
Detalhes da remuneração GCM 108 referente a 2/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_108_detalhes.html
Detalhes da remuneração GCM 107 referente a 2/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_107_detalhes.html
Detalhes da remuneração GCM 106 referente a 2/2020,"R$ 4.035,10","R$ 3.805,99",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_106_detalhes.html
Detalhes da remuneração GCM 105 referente a 2/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_105_detalhes.html
Detalhes da remuneração GCM 104 referente a 2/2020,"R$ 7.149,01","R$ 6.104,53",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_104_detalhes.html
Detalhes da remuneração GCM 103 referente a 2/2020,"R$ 2.927,69","R$ 2.907,79",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_103_detalhes.html
Detalhes da remuneração GCM 102 referente a 2/2020,"R$ 2.927,69","R$ 2.843,34",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_102_detalhes.html
Detalhes da remuneração GCM 101 referente a 2/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_101_detalhes.html
Detalhes da remuneração GCM 100 referente a 2/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_100_detalhes.html
Detalhes da remuneração GCM 99 referente a 2/2020,"R$ 2.927,69","R$ 2.865,13",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_99_detalhes.html
Detalhes da remuneração GCM 98 referente a 2/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_98_detalhes.html
Detalhes da remuneração GCM 97 referente a 2/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_97_detalhes.html
Detalhes da remuneração GCM 96 referente a 2/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_96_detalhes.html
Detalhes da remuneração GCM 95 referente a 2/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_95_detalhes.html
Detalhes da remuneração GCM 94 referente a 2/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_94_detalhes.html
Detalhes da remuneração GCM 93 referente a 2/2020,"R$ 4.035,10","R$ 3.869,95",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_93_detalhes.html
Detalhes da remuneração GCM 92 referente a 2/2020,"R$ 2.927,69","R$ 2.893,57",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_92_detalhes.html
Detalhes da remuneração GCM 91 referente a 2/2020,"R$ 4.035,10","R$ 3.841,51",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_91_detalhes.html
Detalhes da remuneração GCM 90 referente a 2/2020,"R$ 2.927,69","R$ 2.879,35",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_90_detalhes.html
Detalhes da remuneração GCM 89 referente a 2/2020,"R$ 4.035,10","R$ 3.763,33",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_89_detalhes.html
Detalhes da remuneração GCM 88 referente a 2/2020,"R$ 2.927,69","R$ 2.927,69",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_88_detalhes.html
Detalhes da remuneração GCM 87 referente a 2/2020,"R$ 7.149,01","R$ 6.052,39",http://www.saopaulo.sp.leg.br/wp-content/uploads/transparencia/salariosabertos/HTML_ativos_2020_02/gcm_87_detalhes.html
